,TOTAL_SECONDS_E,TOTAL_SECONDS_S,ESTACAO_E_m,ESTACAO_S_m
56862,54963,56459,CM,BC
56863,35475,36982,CU,OR
56864,58984,60873,AS,BC
56865,62958,65403,PO,AP
56866,62592,64241,AF,CP
56867,34489,36036,RA,OD
56868,47108,47543,CU,CG
56869,39430,40480,OD,EC
56870,66990,67770,AM,CS
56871,34480,34838,RM,AL
56872,65368,66255,RA,CG
56873,44556,45007,MM,BC
56874,25053,26881,RB,SP
56875,26593,28047,OD,SA
56876,33260,33824,JZ,MP
56877,31363,32407,SS,OR
56878,62913,63579,EC,LU
56879,29743,30977,OD,CP
56880,32963,33370,PO,RB
56881,35356,35763,TP,BC
56882,26415,27194,JZ,MP
56883,76291,77342,AM,OL
56884,76334,77067,SA,CU
56885,41263,41692,RM,CG
56886,51338,52276,AM,OL
56887,55275,56136,BC,AM
56888,28191,29925,RB,PA
56889,60143,60878,RE,LA
56890,51835,52892,RE,JZ
56891,48942,49349,CU,CG
56892,58312,59234,SS,AM
56893,73548,74316,AH,RB
56894,57248,59587,OD,CS
56895,31955,33342,OD,SA
56896,75587,76374,SS,AV
56897,64952,66395,TP,CM
56898,45947,46768,CU,MP
56899,46056,46684,RO,AM
56900,33529,34307,MP,CU
56901,63841,64397,IN,AN
56902,46501,47679,EC,BC
56903,71724,72159,CP,CG
56904,53543,55433,OR,PA
56905,71559,72664,EC,OD
56906,28362,29724,OR,CU
56907,51302,52696,PA,CA
56908,36469,37252,MM,CG
56909,25656,26626,OD,EC
56910,64190,65545,AL,SA
56911,61407,62227,EC,AM
56912,54075,56381,IN,PO
56913,25684,27226,TP,OS
56914,49332,50162,RE,CS
56915,65667,66487,LA,MP
56916,60213,60762,MP,JZ
56917,32484,33319,SA,LU
56918,44859,46944,OR,TP
56919,61372,63476,OR,SR
56920,72816,73379,CG,SR
56921,28931,30291,OD,RA
56922,68760,70393,OR,CS
56923,75029,76390,OR,MM
56924,58182,59475,SR,CP
56925,61459,62405,AV,CM
56926,52508,53496,CM,RE
56927,66047,66618,CM,PO
56928,24954,27770,PO,AL
56929,48961,51967,CM,RM
56930,26514,28469,LU,MP
56931,31887,32483,EC,MP
56932,71866,72397,LU,OD
56933,31425,32938,AF,MP
56934,52155,52638,BV,AM
56935,46721,47603,CG,MP
56936,44003,45370,AN,JZ
56937,29351,30085,LA,MP
56938,65769,66458,OD,CG
56939,88240,89026,MP,TP
56940,73971,74438,AN,AE
56941,64223,65709,CS,CM
56942,60431,61066,RE,JZ
56943,66306,68449,OD,SS
56944,71815,73027,SA,OR
56945,59384,60052,RM,TE
56946,30297,32049,EN,MP
56947,28437,28727,MP,RE
56948,49351,51118,CM,SP
56949,84712,85310,AN,CS
56950,61835,63505,SA,AF
56951,27069,28282,TP,JZ
56952,30390,30916,SR,CG
56953,66274,66832,CP,CG
56954,65478,65966,CM,JZ
56955,80791,81261,CP,CG
56956,80510,81595,SA,EC
56957,48816,50290,AV,OL
56958,69271,70269,EC,OD
56959,64622,66217,RO,PO
56960,28370,28630,CG,AL
56961,30751,32295,PO,CP
56962,65316,66200,CG,MP
56963,70744,71813,MP,AM
56964,30695,32667,AF,CG
56965,68951,70008,RO,CG
56966,63273,64451,CH,MP
56967,78936,79546,BC,IN
56968,33031,33636,MP,EC
56969,46563,46882,IN,AN
56970,52329,53291,RB,JZ
56971,61693,63737,CS,AX
56972,28107,28613,TP,MP
56973,81127,81802,MP,CG
56974,73890,75088,CM,RE
56975,64144,64334,CG,CU
56976,28859,29945,LU,RA
56977,57015,58753,CA,SP
56978,35393,36456,SS,OR
56979,42235,43669,EC,OR
56980,25079,26196,TP,JZ
56981,68574,69579,CH,MP
56982,38881,39263,SA,EC
56983,36173,36934,AM,CS
56984,23111,25352,OR,MM
56985,39742,40990,CG,BC
56986,32467,34024,TP,AF
56987,57479,58671,AP,MO
56988,49637,50359,SS,BC
56989,82961,83792,AP,OR
56990,65730,67129,CH,TE
56991,71775,72541,RB,CM
56992,51353,51612,EC,CU
56993,59186,59710,MP,EC
56994,33975,34934,TE,SA
56995,39911,42053,EN,BC
56996,65743,66489,MP,JZ
56997,64496,65941,SA,IN
56998,56181,56787,CS,AN
56999,58768,60233,MP,CM
57000,32860,34042,LU,MP
57001,65996,66456,AN,RO
57002,24668,26746,OD,TP
57003,46342,46937,PO,JZ
57004,48516,49238,LA,PA
57005,49521,50285,AP,OR
57006,43132,44307,CG,BC
57007,38485,39131,BV,OL
57008,62953,64005,BC,JZ
57009,40741,41558,TE,AM
57010,31994,33567,SR,MP
57011,49944,50472,OR,CH
57012,34612,35802,SA,MO
57013,35153,36269,SA,CU
57014,63484,64045,MP,SA
57015,53472,54186,CU,MP
57016,65294,65689,RA,PI
57017,32651,33570,CS,MP
57018,39323,39703,CG,EC
57019,30280,30801,EC,TE
57020,48985,49541,CG,EC
57021,39291,39703,PI,EC
57022,47643,50001,AP,RO
57023,59550,60614,AL,AX
57024,56535,57016,MP,CP
57025,38141,38705,MP,CU
57026,34429,35096,JZ,SA
57027,30054,30602,TP,MP
57028,55328,55555,CM,AH
57029,46542,47017,MP,SA
57030,54552,54910,CU,SA
57031,42875,44852,JZ,CH
57032,49746,50800,CS,MP
57033,40318,41276,AM,OR
57034,33191,34353,SR,PI
57035,70578,71830,EC,AN
57036,62397,62627,CM,LA
57037,61865,62419,CS,AN
57038,59277,59600,JZ,AH
57039,63290,64337,MP,CM
57040,79123,79952,CM,RB
57041,81053,81608,CU,AX
57042,46395,48385,CS,QC
57043,25099,26380,CG,CS
57044,35904,36917,SP,SS
57045,32955,33754,RB,LA
57046,68052,69425,MP,AS
57047,68555,69215,BC,CS
57048,43690,44321,SA,CU
57049,48118,49133,MP,QC
57050,64732,65849,AN,OR
57051,51750,52401,RE,MP
57052,57677,58257,CM,AF
57053,32811,33297,OL,SA
57054,44409,45333,EC,OD
57055,54969,56237,AP,AM
57056,26288,27030,CG,MP
57057,62367,63466,OR,SS
57058,28576,29330,TP,MP
57059,52179,52835,IN,CS
57060,26036,27751,OS,CM
57061,47483,49447,RO,SR
57062,28910,30318,EN,AE
57063,42348,42873,RO,CS
57064,39376,39650,SA,MP
57065,63416,63960,MM,CS
57066,69208,70079,EC,AX
57067,66990,67657,CG,QC
57068,31960,32593,JZ,PO
57069,45389,45960,EC,PI
57070,58442,59808,TP,CA
57071,50052,50641,EC,MP
57072,57560,58246,PO,JZ
57073,58382,59659,BC,TE
57074,34296,34691,CG,AL
57075,53386,53762,CU,EC
57076,59885,60747,JZ,RE
57077,42855,43254,BC,AN
57078,35599,37267,CS,QC
57079,27153,27879,TP,MP
57080,67055,67469,PO,CM
57081,80253,80843,AM,CH
57082,32584,33342,CS,IN
57083,26457,27361,AL,RO
57084,42495,45214,OD,CM
57085,45305,46554,AL,RA
57086,47216,47473,CU,EC
57087,61314,64022,AP,BC
57088,28999,29527,EC,CG
57089,53191,55184,AN,OD
57090,51680,53193,SA,CM
57091,31214,33251,AM,RB
57092,25950,27594,OS,AX
57093,64684,65753,PE,CS
57094,75115,75937,MM,OS
57095,27323,28913,OR,PE
57096,65785,66491,MP,JZ
57097,43958,44579,CM,PO
57098,55924,57622,CS,CM
57099,71090,72541,JZ,SP
57100,66657,67042,SA,EC
57101,28209,28980,OD,CG
57102,50636,51105,PE,CM
57103,29873,31523,AS,BC
57104,33480,34982,AM,CM
57105,51550,52855,RA,JZ
57106,51978,54161,BC,AP
57107,45952,47853,OR,AH
57108,83285,84458,SS,AF
57109,48997,50216,PI,RE
57110,42528,43366,TP,SS
57111,23104,24338,SR,EC
57112,38090,39057,EN,SA
57113,64498,65781,RA,LU
57114,52999,54447,CP,OD
57115,70914,71602,CG,OD
57116,35263,35847,SS,RE
57117,87195,89374,OR,BC
57118,33525,33798,EC,CU
57119,54083,55666,OL,CG
57120,25433,25834,EC,CG
57121,36682,37536,OS,CP
57122,61768,61993,AL,RM
57123,52633,53006,EC,PI
57124,55816,56457,SA,EC
57125,63382,65203,AP,RA
57126,35004,37280,AP,BC
57127,76077,77578,IN,AX
57128,33055,33460,EC,CG
57129,68922,70030,PI,CR
57130,27396,27928,SP,TP
57131,66258,69649,AP,CS
57132,44792,45802,CS,RM
57133,37116,37645,JZ,CM
57134,63519,63807,IN,RO
57135,72479,73509,SS,OR
57136,65619,66546,CG,RA
57137,70939,72106,EC,SR
57138,42815,43611,AN,AV
57139,70829,72178,MP,OD
57140,35421,36479,SA,OR
57141,38545,40267,BC,MO
57142,72533,73812,TP,SA
57143,33264,34295,CP,BC
57144,56565,58646,MM,OD
57145,42452,45400,JZ,CS
57146,34172,34546,PO,RB
57147,28561,29749,OS,RA
57148,37702,39265,AF,SA
57149,36381,36908,CU,LU
57150,61551,63428,AM,MO
57151,28765,29847,OR,AE
57152,65791,67253,CG,SP
57153,66727,67327,MP,CS
57154,39918,41325,SS,OR
57155,44450,45100,SP,RE
57156,63065,63552,BC,SP
57157,30421,31079,LU,CU
57158,51561,52255,SS,SA
57159,58500,61416,OD,CM
57160,45449,45935,IN,RO
57161,61218,62006,CS,RE
57162,60767,61636,SS,CS
57163,59703,61588,RB,CS
57164,55157,55622,CU,CP
57165,40552,40984,SP,BC
57166,25294,25844,EC,MP
57167,67918,69977,BC,AP
57168,68190,68552,JZ,CM
57169,65437,66113,EC,LU
57170,39141,39961,CG,IN
57171,30735,31239,PE,PA
57172,47497,48694,SA,OR
57173,58326,59961,CA,OS
57174,83140,83485,CG,EC
57175,64906,66378,SR,RA
57176,64982,65506,CG,CP
57177,61875,62505,RE,SS
57178,86245,86284,SS,SA
57179,30377,30776,JZ,LA
57180,68887,69599,CU,RM
57181,30494,31170,TP,AV
57182,64298,66187,CS,OR
57183,41148,42066,CS,SS
57184,37915,38464,JZ,CM
57185,70700,71155,MM,CS
57186,36495,36851,RA,PI
57187,66443,67387,AM,BV
57188,62459,63644,CP,OR
57189,61898,62774,CP,AX
57190,49544,52275,MP,JZ
57191,40257,40716,MP,PI
57192,52111,52598,RM,CG
57193,28880,29637,CG,MP
57194,63599,64329,MP,CG
57195,36279,37349,AL,CS
57196,66225,67373,TP,JZ
57197,27939,28526,OS,SA
57198,25251,26057,AE,BC
57199,65145,65785,SR,CG
57200,31369,32383,SA,OR
57201,29236,30852,CS,SA
57202,27794,29140,JZ,SP
57203,62784,64078,MP,OD
57204,28047,28418,EC,SA
57205,28523,29612,AX,MP
57206,71310,72681,SA,OD
57207,57007,57605,CG,EC
57208,44714,45715,SA,OR
57209,61969,62731,CU,TE
57210,70864,71437,CG,AX
57211,71719,72646,CU,OD
57212,30940,32275,CG,PE
57213,23336,24146,CG,RA
57214,79948,80587,SA,EC
57215,48362,48847,RE,SA
57216,62516,63978,OR,MP
57217,35595,35729,JZ,LA
57218,46557,46903,PI,EC
57219,43056,44851,AP,PE
57220,63635,65289,PO,AM
57221,34334,35540,TP,OS
57222,69829,70555,JZ,AF
57223,50202,50585,EC,CU
57224,25530,26442,OD,CU
57225,26171,27915,OD,MP
57226,31279,32529,OD,PI
57227,57406,59950,PO,SR
57228,64478,65032,MP,JZ
57229,24382,26665,AS,AM
57230,34520,35032,AN,RM
57231,73439,74602,PI,CS
57232,34090,34371,OS,SA
57233,53209,54864,SR,MP
57234,42190,43989,RA,CS
57235,33329,35253,MO,RA
57236,56238,56749,PI,RA
57237,63889,64710,BC,SP
57238,40304,40995,OR,SA
57239,72198,72858,OR,OS
57240,62560,64083,OR,SS
57241,27202,27621,EC,QC
57242,49540,50036,BC,MP
57243,62128,62921,CS,MP
57244,23600,25696,OD,PE
57245,34522,35473,LA,RE
57246,30903,31596,SR,CG
57247,32523,33217,EC,PI
57248,28405,29263,OD,EC
57249,63248,64658,IN,OR
57250,38017,38444,IN,RO
57251,67011,68195,AP,CH
57252,31483,33530,EN,MP
57253,59263,60825,SS,AL
57254,36392,36940,PE,CM
57255,62491,63406,CG,RA
57256,47906,48778,OR,AP
57257,40274,40798,SR,CG
57258,56381,56692,MP,RE
57259,45585,46883,OR,SA
57260,61363,61651,SA,EC
57261,65364,65990,LA,JZ
57262,57891,58253,PI,EC
57263,53651,54279,RE,SP
57264,29560,29904,CG,CU
57265,28104,28782,OD,CG
57266,30566,30949,JZ,CM
57267,69616,70382,SA,RA
57268,52352,52855,IN,RO
57269,46852,47712,LA,SS
57270,57340,58993,SR,MP
57271,68266,68745,RA,CP
57272,65788,67994,MO,CG
57273,27753,28156,EC,PI
57274,65329,66603,CR,PA
57275,31217,32025,SR,EC
57276,72807,73247,AN,MM
57277,68017,69459,PI,TE
57278,61914,62359,EC,CG
57279,32491,33120,CM,AS
57280,72094,73503,JZ,AM
57281,82158,83134,RO,CG
57282,49708,50675,CS,AM
57283,64570,65738,RM,OL
57284,33996,34480,RO,CS
57285,61252,62512,RA,OR
57286,31158,32192,RM,BC
57287,62868,63319,OL,OS
57288,63469,64689,CS,SP
57289,63421,64386,SS,OR
57290,66869,68131,AL,CS
57291,87469,88080,OR,BV
57292,61292,61710,BC,IN
57293,36402,38058,OD,AN
57294,65576,66341,AV,JZ
57295,58759,59629,OR,OS
57296,75763,77380,BC,AF
57297,47689,47959,CH,BV
57298,31772,32408,EC,CG
57299,28055,28435,EC,SA
57300,61252,62822,AE,MP
57301,33795,34629,CM,AV
57302,72434,73027,BC,SP
57303,32605,33613,CS,MP
57304,33078,34522,OL,RA
57305,34514,35106,EC,MP
57306,45478,46548,SP,SS
57307,61942,62864,CM,RE
57308,32968,34068,MO,AM
57309,65852,67039,RA,LU
57310,43376,44189,RO,AM
57311,52027,53124,LU,EC
57312,72946,73487,CU,CP
57313,62888,63324,SA,EC
57314,50673,51196,MM,CS
57315,28474,29414,JZ,OS
57316,47817,48247,CU,CP
57317,46025,47211,BV,IN
57318,59148,60957,CU,TP
57319,69126,70341,MP,AF
57320,66761,68870,CS,RB
57321,63137,64425,SP,SA
57322,66864,68501,OR,SS
57323,67088,67857,RE,SS
57324,68121,70052,LA,AL
57325,35922,36645,SA,EC
57326,63121,63992,CS,SP
57327,53874,55868,IN,PO
57328,30780,31836,EC,RA
57329,30353,31426,SR,SA
57330,42431,42754,AN,AE
57331,64292,64939,TE,EC
57332,70934,72095,CS,CG
57333,34009,34629,SA,OS
57334,89671,90680,AM,BC
57335,30041,30439,OR,CR
57336,68896,69808,OR,AM
57337,25917,28028,PO,CS
57338,43643,44634,MP,JZ
57339,80314,82080,BC,OL
57340,26186,26591,PE,JZ
57341,30180,30623,EC,PI
57342,57185,59230,IN,AX
57343,29963,31441,MM,OR
57344,46871,49051,AX,CS
57345,58708,61096,IN,OD
57346,66955,68135,CM,AM
57347,66578,67317,MP,TP
57348,45177,45470,AN,MM
57349,37751,38740,BC,SS
57350,42866,43765,CU,RA
57351,81573,82139,AV,TP
57352,51126,51884,AP,OR
57353,34750,35675,CS,RM
57354,65096,65741,PA,JZ
57355,28786,29037,EC,SA
57356,65503,66307,JZ,AF
57357,28308,29206,CS,AM
57358,54516,56141,EN,SS
57359,27837,29233,CG,CS
57360,31735,32797,EC,BV
57361,65805,66630,EC,SS
57362,23576,24800,CH,AP
57363,58153,59385,AN,CP
57364,70524,72048,BC,LU
57365,74140,74931,SS,AH
57366,73469,74610,AM,MO
57367,31651,32294,EC,PI
57368,82277,84645,CM,CS
57369,65152,66028,AM,TP
57370,38579,39611,EC,OD
57371,26846,27976,RM,CS
57372,81582,82903,MP,BV
57373,58871,60849,RA,AS
57374,33594,35369,PO,CP
57375,23239,24190,OD,CU
57376,32179,33670,AH,CS
57377,34251,34856,AM,AL
57378,51311,51915,EC,LU
57379,45806,46999,PO,SS
57380,72563,73204,OS,SA
57381,26701,28072,SR,RM
57382,73151,73716,TP,IN
57383,50635,52263,CP,CS
57384,29601,30982,SR,CP
57385,61298,61850,PI,EC
57386,63133,64755,MO,JZ
57387,62404,62794,EN,OR
57388,58064,58709,BC,SS
57389,34530,35775,TE,MP
57390,29714,31038,JZ,SP
57391,70677,71919,OR,MP
57392,52652,53440,PO,PE
57393,30371,30763,CS,BC
57394,39413,40164,OD,CG
57395,59838,60979,AM,OR
57396,30061,31335,LU,MP
57397,45726,46598,CM,LA
57398,41166,41551,AN,RO
57399,80995,81895,MP,SP
57400,34713,35206,CG,CP
57401,67001,68527,MP,OR
57402,38732,40098,CS,SS
57403,31290,31768,LU,CU
57404,41391,41696,CP,MP
57405,28846,30103,BC,CM
57406,67021,67640,AM,AN
57407,47792,50200,AP,BC
57408,49603,50585,JZ,PA
57409,64043,64474,LA,CM
57410,28554,29922,OD,RA
57411,48282,48792,SA,AM
57412,69971,70537,OS,CH
57413,61534,63120,OR,AV
57414,30789,32180,AS,AV
57415,50258,50680,MP,RE
57416,41026,41715,RE,CS
57417,57265,57988,JZ,CM
57418,72907,73340,CU,EC
57419,74301,74970,AM,MM
57420,33430,34271,CS,AE
57421,55207,55749,MP,BC
57422,57195,58340,OS,AL
57423,69326,71268,SP,RB
57424,30666,31165,SP,AV
57425,33659,35297,OD,AN
57426,29217,30247,SR,AE
57427,56252,58276,CH,QC
57428,56114,56970,JZ,SA
57429,57166,58398,MP,AS
57430,42645,42861,EC,CU
57431,37833,38729,CG,MP
57432,64486,65272,CM,MP
57433,52031,52671,OS,SA
57434,49402,50396,AM,MP
57435,67680,68512,OR,AM
57436,61862,63713,AE,CM
57437,62745,64145,BC,EC
57438,79233,80801,RE,CG
57439,74064,74795,JZ,SS
57440,65938,67018,PE,CS
57441,60108,61459,BC,CU
57442,65470,66037,MP,CP
57443,27419,28356,OS,LA
57444,58742,60061,LU,OS
57445,54414,54901,CP,CG
57446,50915,51668,MM,CS
57447,64330,64925,CM,JZ
57448,80677,82606,JZ,AN
57449,64515,65169,RB,CM
57450,65862,67867,RB,PI
57451,33330,33767,CS,BC
57452,24194,24578,JZ,SS
57453,53369,53827,RB,CA
57454,46413,47485,BC,SS
57455,39284,40507,AX,OD
57456,51556,53024,PO,AV
57457,60658,61763,SA,MO
57458,31467,32298,CS,AM
57459,47701,48233,TP,RE
57460,56962,59521,AP,RE
57461,45693,46363,CG,PI
57462,67713,68221,MM,AM
57463,77059,77366,CU,EC
57464,58542,60787,CM,AL
57465,29957,31758,MO,AV
57466,51284,52029,OR,SA
57467,27421,27726,AF,RB
57468,48342,48654,AL,RM
57469,32794,34315,PO,CS
57470,63592,64596,RA,BV
57471,43181,43839,EC,CG
57472,64313,65497,OS,LA
57473,64435,65580,OR,AM
57474,35826,36421,EC,PI
57475,83623,84027,OR,MO
57476,42734,43074,BC,RE
57477,76115,76820,OR,OL
57478,31030,32176,CG,BC
57479,62367,62921,RB,CM
57480,33512,34396,AN,CS
57481,26372,27100,EC,QC
57482,75236,76078,AV,JZ
57483,50464,51048,MP,SP
57484,63939,64957,OD,EC
57485,29368,29820,CG,EC
57486,66214,66764,PI,EC
57487,61983,63975,CU,RB
57488,50658,51326,OR,AP
57489,30095,31090,OD,CU
57490,46382,46877,PI,RA
57491,42467,42878,OR,MO
57492,23220,23719,EC,CG
57493,36280,37315,MO,SA
57494,62519,63564,CP,OD
57495,43686,44222,SA,EC
57496,64946,67220,PO,OS
57497,51519,53171,OD,EC
57498,69615,70367,MP,EC
57499,70327,70727,LA,JZ
57500,72421,73011,CH,OR
57501,31806,32531,CA,SS
57502,54822,55856,AM,OR
57503,30530,31444,PE,RA
57504,27106,28604,AH,CU
57505,28556,29962,LU,PA
57506,24599,25744,CG,AM
57507,43215,43909,JZ,RE
57508,32636,33951,MP,RB
57509,36330,37779,CS,LA
57510,64950,65803,SA,SS
57511,47959,48398,EC,SA
57512,28153,28818,CM,PO
57513,65052,66563,SR,RA
57514,28813,31207,OD,OR
57515,25861,28016,SR,CS
57516,55137,57794,AP,CS
57517,31285,32480,CS,PE
57518,68420,69128,MP,CG
57519,30201,31821,OL,JZ
57520,40230,40970,RE,MP
57521,53225,54007,BC,AM
57522,31204,32133,CS,PA
57523,64293,65743,CH,RO
57524,36728,37504,AL,RO
57525,69543,70021,CS,RO
57526,64214,65067,AM,CG
57527,34671,35288,SS,AM
57528,73571,75413,MO,CG
57529,52852,53154,MP,PA
57530,50713,51582,AV,BC
57531,66018,67726,BC,LU
57532,41707,42774,AM,OR
57533,37587,39427,EN,CG
57534,42738,43296,JZ,AH
57535,64126,64730,CM,JZ
57536,63074,63962,RE,AN
57537,58482,59264,AN,CG
57538,82474,82884,EC,CG
57539,30731,31301,LU,CU
57540,24419,25437,PO,MP
57541,52157,52733,AP,OR
57542,69158,71285,CR,LU
57543,67417,67957,CR,OR
57544,64164,64691,RM,CG
57545,32066,32644,CU,SA
57546,68292,70025,OR,CS
57547,26275,26757,MP,RA
57548,70908,72939,CM,MM
57549,55129,56065,EC,AM
57550,44824,47386,OR,OD
57551,46315,46917,MM,BC
57552,33831,34254,BV,OR
57553,24046,25963,PO,OR
57554,51971,53174,OR,SS
57555,62111,62637,SA,EC
57556,42297,42749,AH,CA
57557,72696,74098,BC,OR
57558,74554,75653,EC,LU
57559,52938,54540,BC,OR
57560,45152,45777,RA,SA
57561,33124,33941,AM,CS
57562,27774,28194,JZ,CM
57563,62922,64006,SS,CS
57564,88476,89637,SA,SR
57565,26051,26553,PO,RB
57566,56024,56549,SP,TP
57567,63089,65002,CS,QC
57568,69449,70480,LA,CM
57569,64465,65171,CS,TP
57570,34269,35047,AM,CG
57571,59640,61945,CG,EN
57572,28591,28905,BV,CH
57573,64672,66956,CS,RB
57574,31244,32101,AM,OL
57575,32353,33413,OL,PI
57576,32648,33801,PO,PA
57577,30411,31806,SR,MP
57578,42066,43460,RA,OR
57579,31365,32833,PO,BC
57580,43319,43850,RA,MP
57581,68138,69173,CM,RE
57582,23577,25057,AS,MP
57583,27425,27809,EC,CG
57584,29164,30291,LU,SS
57585,33886,35792,AH,AP
57586,58429,59579,CG,CS
57587,31248,31902,LA,SS
57588,33561,34338,LA,MP
57589,28400,29693,CS,CG
57590,63190,63978,CM,SS
57591,34786,35511,PA,TP
57592,29655,30875,BC,CG
57593,63532,64103,RB,AF
57594,61104,61987,AL,OS
57595,76755,77645,SS,AM
57596,59619,59892,AL,CG
57597,33066,35308,RB,IN
57598,44808,45719,MP,CM
57599,32512,33638,SR,AE
57600,42525,43094,CG,SA
57601,66775,67979,LU,MM
57602,32989,33606,JZ,PA
57603,58641,59816,CG,CS
57604,64162,64789,CP,MP
57605,34147,34496,MP,RE
57606,63497,64997,RO,OR
57607,59149,59976,AM,OR
57608,41260,41558,JZ,AH
57609,57819,58490,SA,CG
57610,50220,51490,MP,AX
57611,55803,56538,JZ,MP
57612,58100,58471,AM,BV
57613,25057,26724,AF,RA
57614,27556,27904,EC,CG
57615,61997,63670,SA,CS
57616,33737,34328,OS,SA
57617,59860,60525,MP,JZ
57618,65943,67029,SR,MP
57619,24420,25109,PO,PE
57620,79413,80237,AM,CS
57621,33253,34347,BC,CG
57622,66915,67544,PO,JZ
57623,31306,32283,CM,MP
57624,46738,48522,OR,TP
57625,48133,48526,CM,AH
57626,61830,63438,JZ,CU
57627,34845,35392,LU,EC
57628,32449,33480,OD,EC
57629,27479,29769,CA,EN
57630,65189,65664,EC,MP
57631,64509,65195,AE,AN
57632,37465,38382,CG,MP
57633,29392,31272,OD,AV
57634,52579,53929,CA,RE
57635,66349,68759,OL,TE
57636,56613,57200,AM,RO
57637,50238,50587,EC,CU
57638,61484,62022,TE,RM
57639,38679,39130,CM,AS
57640,28780,30256,AH,BC
57641,47776,48208,MM,BC
57642,30904,32170,SR,SA
57643,68624,69106,OR,AP
57644,34723,35146,EC,PI
57645,62539,65408,TP,AP
57646,29336,30464,PO,MP
57647,35542,37352,CS,EC
57648,41257,41589,EC,SA
57649,71263,71678,CS,BC
57650,65049,65672,MP,JZ
57651,58016,58512,MP,PE
57652,59107,59851,CG,AX
57653,25997,26959,EC,OD
57654,26691,27604,RE,MP
57655,28526,29022,AN,RM
57656,65727,67111,TP,AH
57657,29658,30291,RO,AM
57658,32774,33970,AM,OR
57659,32953,33427,AM,RO
57660,81964,83283,CM,TP
57661,66015,67292,LU,AN
57662,78604,79303,IN,BC
57663,54880,55293,JZ,SS
57664,46241,47954,SA,CM
57665,30869,33094,AS,AN
57666,76506,76867,SS,JZ
57667,69359,71349,CG,OL
57668,60654,61891,CG,CS
57669,38496,39943,SS,OR
57670,60971,61449,CU,EC
57671,65382,65834,CS,RO
57672,26998,28271,CS,CG
57673,49595,49894,OR,CR
57674,56159,57606,CP,MO
57675,26594,27739,SR,CU
57676,53371,55500,MO,CU
57677,34532,35731,RA,CH
57678,28396,29104,CG,AN
57679,62661,63286,SS,BC
57680,65937,67394,AM,AP
57681,36211,36787,CU,QC
57682,67594,68569,RA,EC
57683,58417,59488,JZ,OS
57684,50207,50927,PE,CM
57685,62032,62463,RE,MP
57686,83633,85565,SS,OD
57687,42165,42990,CG,CP
57688,38635,40076,SA,AL
57689,26387,27778,CM,CH
57690,26269,27087,SP,MP
57691,72073,72887,JZ,AF
57692,56355,58260,AP,MM
57693,30492,31022,RO,AN
57694,32942,34521,LA,MM
57695,64637,65302,SA,OS
57696,50873,51587,OR,OS
57697,29707,30298,OD,LU
57698,64493,65615,CS,PE
57699,41915,42599,CG,OD
57700,26279,26820,AE,AL
57701,41338,41926,AN,RO
57702,55822,57175,SA,RE
57703,70146,70932,JZ,AS
57704,86166,88325,RE,AM
57705,29877,30081,EC,CU
57706,65146,65631,AV,MP
57707,63248,63725,CG,AX
57708,71751,72420,MM,TP
57709,28672,30097,SR,RA
57710,37000,38376,TP,JZ
57711,63164,64528,CS,JZ
57712,27370,28045,PO,JZ
57713,32677,33839,QC,RA
57714,62606,64758,SP,AS
57715,48530,49377,SR,CU
57716,31778,32531,EC,QC
57717,49970,50448,EC,SA
57718,77911,78609,SS,AM
57719,71983,73777,OR,RA
57720,51948,53885,IN,MO
57721,62237,62785,AN,CS
57722,58982,59776,CS,AM
57723,42444,42677,CS,BC
57724,76755,77606,CS,AE
57725,63426,64148,SA,SS
57726,66431,67074,AN,CS
57727,80059,81074,MP,AF
57728,63955,64803,CP,LU
57729,66817,67277,PO,RB
57730,64355,64671,RE,TP
57731,26989,28269,BV,CG
57732,77250,79458,PO,CH
57733,36668,37578,SS,PO
57734,47613,48371,BC,RM
57735,66942,68620,CM,SA
57736,51995,52927,MP,IN
57737,25462,25882,RE,SP
57738,29477,30324,CG,PI
57739,70851,71515,IN,RE
57740,65426,66275,CU,LU
57741,57646,58458,PI,CG
57742,63214,64058,JZ,TP
57743,76594,77750,CS,PE
57744,24641,25377,AN,RM
57745,35712,36072,RO,IN
57746,54640,56251,TE,OR
57747,61431,62784,MP,AS
57748,50272,50615,EC,CU
57749,64589,66013,CG,CS
57750,37641,39706,EN,MM
57751,62159,63301,AS,SS
57752,76996,77774,BC,JZ
57753,40843,41937,CG,RO
57754,47413,48934,OS,SP
57755,48508,48831,MP,PA
57756,73542,74206,CM,AS
57757,65198,66762,RA,SR
57758,29054,30299,TE,RA
57759,44401,45701,MP,CM
57760,67768,68454,OR,SA
57761,51815,52328,MP,RE
57762,33651,34508,LU,PI
57763,40391,41609,AP,AM
57764,52579,54078,MO,SS
57765,64357,65421,EC,OD
57766,68632,69350,OR,OL
57767,33051,33583,TP,MP
57768,61031,61612,CM,PO
57769,24398,26182,LU,RO
57770,56865,57843,BV,SA
57771,44744,45581,EC,AM
57772,65658,67265,SA,AX
57773,32640,33822,AX,MP
57774,42190,43298,CG,OD
57775,64098,65700,SA,CM
57776,37221,38679,TP,QC
57777,84380,84783,SA,EC
57778,29545,30113,AN,AL
57779,70809,72027,CM,PA
57780,34302,35533,AS,MP
57781,71254,71995,MP,CS
57782,69462,71790,CS,AP
57783,24430,24637,LA,JZ
57784,58971,59652,SS,RE
57785,52263,53493,SS,MO
